depvar,bandwidth,time,coef,se,t_stat,n_obs,method,path,pvalue,ci_lower,ci_upper,ci_width,auto_bw
securitized,0.03,2,0.12146255574609549,0.031191602396202056,3.894078739631696,13410,sl,rdflex,9.857262988150313e-05,0.060245838420647096,0.18267927307154389,0.12243343465089679,
securitized,0.04,2,0.140369015079722,0.032056977314250126,4.378735203375661,13410,nocov,rdflex,1.1937006484525877e-05,0.0775384940905742,0.20319953606886978,0.12566104197829558,
securitized,0.04,2,0.10750498074946319,0.03105732927012985,3.461501142432706,13410,ridge,rdflex,0.0005371718402802189,0.04654703959277358,0.1684629219061528,0.12191588231337923,
securitized,0.04,2,0.1121210005839345,0.03104491224911737,3.6115740860927117,13410,lasso,rdflex,0.00030434411163273085,0.0514460621121574,0.17279593905571158,0.12134987694355417,
securitized,0.04,2,0.11250243020341308,0.030875503438138416,3.643743993642755,13410,rf,rdflex,0.0002687006900228761,0.05198755546011917,0.17301730494670697,0.1210297494865878,
securitized,0.04,2,0.12000052671254641,0.030832130841123035,3.8920607638474682,13410,lgbm,rdflex,9.939634149354877e-05,0.05957066069731862,0.18049540219695115,0.12092474149963253,
securitized,0.04,2,0.11469869978106083,0.03073982814562266,3.731273292671087,13410,xgb,rdflex,0.00019051441025263284,0.05427496080096128,0.17512243876116038,0.1208474779601991,
securitized,0.04,2,0.12028140860471401,0.031046972321015675,3.874175148579483,13410,nnet,rdflex,0.00010698644942854704,0.05948442698337589,0.18107839022605213,0.12159396324267624,
securitized,0.04,2,0.12287026941750466,0.03106579977859452,3.9551619560159144,13410,sl,rdflex,7.648282245150598e-05,0.061783655041251995,0.18395688379375733,0.12217322875250533,
securitized,0.05,2,0.1399968263740778,0.032060914424902526,4.3665886917229875,13410,nocov,rdflex,1.2620205609751885e-05,0.07719586919189905,0.2028510453051276,0.12565517611322854,
securitized,0.05,2,0.10710505523746394,0.031085912470151543,3.4454531563229938,13410,ridge,rdflex,0.0005701027699131387,0.04625709408440947,0.1679530163905184,0.12169592230610893,
securitized,0.05,2,0.11119021971107072,0.031031129158876056,3.583183168804097,13410,lasso,rdflex,0.0003394324104546649,0.050367453380436904,0.17201298604170454,0.12164553266126762,
securitized,0.05,2,0.11157845139255079,0.030895760603022154,3.6114486005447763,13410,rf,rdflex,0.0003044914375768069,0.05109631284976815,0.17219852360269558,0.12110221075292743,
securitized,0.05,2,0.11945351842412202,0.030894597091886314,3.866485718161169,13410,lgbm,rdflex,0.00011041492679980355,0.05910302814839555,0.1798040086998485,0.12070098055145295,
