"depvar","bandwidth","time","method","coef","se","t_stat","pvalue","ci_lower","ci_upper","ci_width","n_obs"
"securitized","0.03",2,"rdrobust",0.125928710067728,0.0392639788754931,3.20723252391335,0.018908351304134,0.0152096457472601,0.169121614718676,0.153911968971416,2875
"securitized","0.04",2,"rdrobust",0.133738915430675,0.0351663978539767,3.80303140475194,0.00347489153269487,0.0338408680146761,0.171690614534278,0.137849746519602,3354
"securitized","0.05",2,"rdrobust",0.136400407576831,0.0317067370423427,4.30193770474317,0.000161142302238224,0.0574930087272545,0.181781134067802,0.124288125340547,4402
"securitized","0.1",2,"rdrobust",0.0985693455332358,0.024136321030907,4.08385956612923,5.57704249343859e-08,0.0837987385279655,0.178411378407714,0.0946126398797489,7165
"securitized","0.15",2,"rdrobust",0.0770845391993958,0.0210940875544593,3.65431967608857,3.20933797617838e-07,0.0664623175749191,0.149149621361869,0.0826873037869498,10325
"securitized","0.2",2,"rdrobust",0.0546446777362177,0.0188165953102147,2.90406828840888,1.05537555286978e-07,0.0631665115712177,0.13692620981059,0.0737596982393721,13410
"securitized","auto",2,"rdrobust",0.119979578357858,0.0365213029561908,3.2851943563399,0.00512019271212659,0.0306563170431973,0.173817193968417,0.14316087692522,2670
"securitized","0.01",3,"rdrobust",0.181518097469965,0.0877627333911455,2.06828217919064,0.102043458873451,-0.0285173877431163,0.315506205519756,0.344023593262872,1744
"securitized","0.02",3,"rdrobust",0.214303606006486,0.0571748703221708,3.74821324121805,0.0104773452372779,0.034287762091623,0.258409135396029,0.224121373304406,2386
"securitized","0.03",3,"rdrobust",0.171091397548642,0.0454709933287286,3.76264921928913,3.12062278201401e-06,0.122896848590691,0.301139867121829,0.178243018531138,2688
"securitized","0.04",3,"rdrobust",0.132779654371968,0.0412745783284427,3.21698390993538,2.23267740913181e-06,0.11437892385858,0.27617229786023,0.16179337400165,2949
"securitized","0.05",3,"rdrobust",0.0720334170811829,0.0380572279153948,1.89276573799124,2.62971080303178e-06,0.104194676050732,0.253376268181944,0.149181592131212,3676
"securitized","0.1",3,"rdrobust",0.0241234682205886,0.0273270214966487,0.882769760456588,0.0198669363429439,0.0100805958739807,0.117200551750347,0.107119955876366,5498
"securitized","0.15",3,"rdrobust",0.00659199562789256,0.0234466874595052,0.281148270487146,0.111186207388933,-0.00860680874070607,0.0833025172140883,0.0919093259547944,7412
"securitized","0.2",3,"rdrobust",-0.00733176579131954,0.0209670385387138,-0.349680560646754,0.296194936356496,-0.0191918849984493,0.0629973957982355,0.0821892807966848,9505
"securitized","auto",3,"rdrobust",0.215128400908929,0.0452830733605386,4.75074646979241,8.86533931038177e-08,0.153446355619304,0.330952741411185,0.177506385791882,2356
"securitized","0.01",4,"rdrobust",0.171961521533687,0.0854586863313976,2.012218171326,0.202147796527233,-0.058497130949504,0.276494763801785,0.334991894751289,1022
"securitized","0.02",4,"rdrobust",0.180465662706874,0.0605907701932181,2.97843486939326,0.0147083066104476,0.0290544087308444,0.266565863479345,0.237511454748501,2017
"securitized","0.03",4,"rdrobust",0.143420146577396,0.0492002291036727,2.91503005555496,0.000359125775683329,0.0791369322101472,0.271998286358783,0.192861354148636,2268
"securitized","0.04",4,"rdrobust",0.0877676211002725,0.0469231624557516,1.87045408934313,0.000994126348196115,0.0625119645792545,0.246447381487245,0.18393541690799,2496
"securitized","0.05",4,"rdrobust",0.0316927779969055,0.0445686447051847,0.711100330883937,0.00503312194616396,0.0376579308212826,0.21236380774513,0.174705876923848,2895
"securitized","0.1",4,"rdrobust",-0.00669943394422398,0.0316464775783476,-0.211696038765708,0.512961105145136,-0.0413217569080723,0.0827301556741591,0.124051912582231,4180
"securitized","0.15",4,"rdrobust",-0.021456260198151,0.0263497393646494,-0.814287378756263,0.906351151847018,-0.0547443819465374,0.0485446983669227,0.10328908031346,5521
"securitized","0.2",4,"rdrobust",-0.0330413927613145,0.0236853596968402,-1.39501334090875,0.548000752550171,-0.0606516365536209,0.0321932673797457,0.0928449039333665,6876
"securitized","auto",4,"rdrobust",0.17531833608905,0.0467946330932754,3.74654793723009,2.46292714246781e-05,0.105671938552017,0.289103529617189,0.183431591065172,2046
