depvar,bandwidth,time,method,coef,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,bw_type
securitized,0.02587398979310644,2,nnet,0.12884743649491603,0.031452636943451,4.096554343808187,4.193450812096016e-05,0.06727879595230693,0.1907654144921466,0.12348661853983967,13410,auto
securitized,,2,sl,,,,,,,,13410,auto
securitized,0.015353993951217736,3,nocov,0.2044124310259306,0.04580246767459816,4.462913056959523,8.085286556317986e-06,0.11468231578867694,0.29426521324301436,0.17958289745433742,9505,auto
securitized,0.019639937726169548,3,ridge,0.1816090066743934,0.038278173256952895,4.74445333258963,2.090701692456416e-06,0.1064380512399979,0.25652775947131534,0.15008970823131745,9505,auto
securitized,,3,lasso,,,,,,,,9505,auto
securitized,0.055341877835583864,3,rf,0.005758954298382095,0.024817985851254054,0.23204760986238918,0.8165010355092258,-0.04349983827764311,0.0552543619975983,0.0987542002752414,9505,auto
securitized,0.054532061785642474,3,lgbm,-0.005855767827056528,0.025524825204187165,-0.2294146102946057,0.8185466815820941,-0.05642361325504491,0.044924655875776494,0.1013482691308214,9505,auto
securitized,0.06312930831137996,3,xgb,0.004117175559338467,0.024288992430142615,0.16950787774255535,0.8653971764824033,-0.04459108659346019,0.05144667282405421,0.09603775941751441,9505,auto
securitized,0.01649050380336861,3,nnet,0.20219392485566615,0.043185576431745566,4.681978140901555,2.8411978407493525e-06,0.116234829335287,0.28796443866920374,0.17172960933391673,9505,auto
securitized,,3,sl,,,,,,,,9505,auto
securitized,0.014399999008229034,4,nocov,0.2051871041400347,0.05126802827955507,4.002242938253591,6.274482334209403e-05,0.10451960625456479,0.3058021967232162,0.20128259046865138,6876,auto
securitized,0.025857759280348676,4,ridge,0.10879469893394686,0.04320268822218041,2.5182391052714928,0.011794322436830613,0.023639465735697418,0.19390881600579585,0.17026935027009843,6876,auto
securitized,,4,lasso,,,,,,,,6876,auto
securitized,0.04836246269948007,4,rf,0.0064831452543401905,0.030626111488192286,0.2116868560620152,0.8323513430677535,-0.053861384808018185,0.06685571213543684,0.12071709694345503,6876,auto
securitized,0.055377432167181564,4,lgbm,0.004772002030896826,0.028550140380320912,0.16714460830413566,0.8672562673265822,-0.05096394001489479,0.060272941208692185,0.11123688122358698,6876,auto
securitized,0.05570008821893344,4,xgb,0.0016509873142701269,0.02866754949814797,0.057590807138112265,0.9540745723615878,-0.05491287475790811,0.05802319297861831,0.11293606773652642,6876,auto
securitized,0.017004059445706862,4,nnet,0.21443115943454774,0.04484741707149715,4.781349148663231,1.741226399116373e-06,0.12689055150008458,0.30131180139146035,0.17442124989137578,6876,auto
securitized,,4,sl,,,,,,,,6876,auto
