bandwidth,poly_order,method,beta1,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,covariates_used
75,3,sl,66.55572357343584,64.28228391072507,1.0353665041812783,0.3004977824133117,-80.85783908267027,192.54668488243556,273.4045239651058,656,"log_volume, log_users, mkt_ret, log_users_lag"
100,1,nocov,278.92544979171646,59.64790586728151,4.676198530964934,2.9224169579893554e-06,162.01770253860934,395.8331970448236,233.81549450621424,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,1,ridge,46.541715036146805,40.836283203647056,1.139714767968653,0.25440515255427254,-32.64585986716671,126.47597070523813,159.12183057240483,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,1,lasso,39.11173831986063,27.550734731876958,1.4196259628098873,0.15571660277030233,-24.35847167172662,91.6891631568738,116.04763482860042,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,1,rf,22.26265343588949,31.901788174719595,0.69784970403419,0.4852711913177017,-40.28146674665877,83.65090951777388,123.93237626443266,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,1,lgbm,51.99875732085029,34.70169773722971,1.4984499523509893,0.13401638640569344,-12.673490177729704,117.29279131839792,129.96628149612764,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,1,xgb,60.16674916120059,35.85637116213762,1.6779932606435481,0.09334841467210511,-8.720757049213738,129.05425537161491,137.77501242082866,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,1,nnet,102.78986446264591,37.22102671429944,2.761607444406053,0.005751758792699468,27.053334166967886,175.63840104087163,148.58506687390374,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,1,sl,-13.586573096130792,25.000940703749585,-0.5434424751102709,0.586825187580736,-64.4651271864773,35.21114421798701,99.67627140446432,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,2,nocov,268.06142659488535,71.72879607256776,3.737152179770152,0.00018611628811794465,127.47556963823445,408.64728355153625,281.1717139133018,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,2,ridge,172.99778594481754,48.755610832888934,3.548264148259197,0.00038777911461742416,74.30623302781461,270.9179542046711,196.6117211768565,1146,"log_volume, log_users, mkt_ret, log_users_lag"
100,2,lasso,43.12533396581918,28.592115662350764,1.5082946108323603,0.1314791419063078,-17.4981013177861,98.87213572586448,116.37023704365058,1146,"log_volume, log_users, mkt_ret, log_users_lag"
