dayuserchgw,gt300,mktcap1_300,log_volume,log_users,mkt_ret,log_users_lag
90.0,1,9.843903,14.377108,6.8101425,3.42,6.705639
229.0,1,70.451996,15.951635,8.228711,3.42,8.1656475
-302.076,1,39.08737,15.27723,10.175802,3.42,10.19092
-302.076,1,39.08737,15.27723,10.175802,3.42,10.19092
783.0,1,55.486908,14.106809,7.1428275,0.12,6.177944
8.0,1,25.5,10.819798,7.3165483,1.43,7.3112183
8.0,1,25.5,10.819798,7.3165483,1.43,7.3112183
8.0,1,25.5,10.819798,7.3165483,1.43,7.3112183
1312.0,1,33.863342,17.583134,10.208211,1.73,9.75719
1312.0,1,33.863342,17.583134,10.208211,1.73,9.75719
1312.0,1,47.912018,16.113455,9.991086,2.92,9.832744
797.0,1,41.174713,14.519979,7.4012313,2.92,6.7345915
797.0,1,41.174713,14.519979,7.4012313,2.92,6.7345915
1312.0,1,9.542877,18.106543,10.867368,2.92,10.818177
1312.0,1,9.542877,18.106543,10.867368,2.92,10.818177
1312.0,1,3.1011963,17.942387,10.894441,1.41,10.829075
1312.0,1,3.1011963,17.942387,10.894441,1.41,10.829075
1312.0,1,3.1011963,17.942387,10.894441,1.41,10.829075
1312.0,1,3.1011963,17.942387,10.894441,1.41,10.829075
1312.0,1,3.1011963,17.942387,10.894441,1.41,10.829075
79.0,1,67.50018,9.210441,8.289037,1.41,8.268989
79.0,1,67.50018,9.210441,8.289037,1.41,8.268989
79.0,1,67.50018,9.210441,8.289037,1.41,8.268989
1312.0,1,18.115234,18.465189,10.751949,1.35,10.498387
1312.0,1,18.115234,18.465189,10.751949,1.35,10.498387
1312.0,1,18.115234,18.465189,10.751949,1.35,10.498387
1.0,1,46.96808,17.978216,5.398163,1.08,5.3936276
1.0,1,46.96808,17.978216,5.398163,1.08,5.3936276
1.0,1,46.96808,17.978216,5.398163,1.08,5.3936276
-114.0,1,13.808533,11.798112,10.826198,0.41,10.828461
1312.0,1,25.391052,18.976072,10.824945,1.66,10.29607
1312.0,1,25.391052,18.976072,10.824945,1.66,10.29607
-6.0,1,34.654816,12.653003,6.8330317,0.89,6.8394766
-6.0,1,34.654816,12.653003,6.8330317,0.89,6.8394766
117.0,1,22.045898,12.240044,11.490996,1.36,11.4898
1312.0,1,57.963715,17.330395,10.582155,0.5,10.442259
1312.0,1,57.963715,17.330395,10.582155,0.5,10.442259
1312.0,1,57.963715,17.330395,10.582155,0.5,10.442259
-302.076,1,28.564178,16.582,9.460476,-0.81,9.484785
1312.0,1,19.57959,16.552406,9.085911,1.36,8.61957
1312.0,1,36.168854,17.792202,9.560504,0.97,9.343209
792.0,1,29.303253,15.127241,7.5719886,0.97,7.0483866
792.0,1,29.303253,15.127241,7.5719886,0.97,7.0483866
1312.0,1,15.112396,16.911196,9.770299,0.97,9.495294
1312.0,1,15.112396,16.911196,9.770299,0.97,9.495294
1312.0,1,15.112396,16.911196,9.770299,0.97,9.495294
