securitized,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
0.0,-0.14144200997303,1.0,4.663439094112067,5.891644211825772,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0542004568976794,1.0,4.990432586778736,5.978885764901122,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.13318886821631,1.0,5.298317366548036,5.899897353582492,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,5.117993812416755,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0981920261792135,1.0,4.343805421853684,5.934894195619588,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0,1.0,5.75890177387728,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0120628724492748,1.0,4.795790545596741,6.021023349349527,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1442082634659209,1.0,4.465908118654584,5.8888779583328805,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,0.0468469732967884,0.0,4.51085950651685,6.07993319509559,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1469821903486456,1.0,4.30406509320417,5.886104031450156,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,0.0,1.0,5.181783550292085,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1751530673153425,1.0,4.859812404361672,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.0072202479734873,1.0,5.267858159063328,6.025865973825314,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1666181648655049,1.0,4.762173934797756,5.8664680569332965,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2015
1.0,-0.0024009615375382,1.0,5.43372200355424,6.030685260261263,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2015
0.0,-0.0929149690783699,1.0,5.123963979403259,5.940171252720432,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
1.0,0.0,1.0,5.293304824724492,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,0.0,1.0,5.003946305945459,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,-0.0491499411116107,1.0,4.584967478670572,5.983936280687191,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1304528883974356,1.0,4.6913478822291435,5.902633333401366,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1609684323233855,1.0,4.897839799950911,5.872117789475416,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1982754847361967,1.0,4.8283137373023015,5.834810737062605,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
1.0,-0.0669394826751093,1.0,5.017279836814924,5.966146739123692,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.0567353125008676,1.0,4.969813299576001,5.976350909297934,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.0291991546922627,1.0,4.700480365792417,6.003887067106539,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.13318886821631,1.0,4.61512051684126,5.899897353582492,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.0441248049089377,1.0,5.303304908059076,5.988961416889864,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.0720808821755278,1.0,5.572154032177765,5.961005339623274,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.1469821903486456,1.0,4.787491742782046,5.886104031450156,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.13318886821631,1.0,4.624972813284271,5.899897353582492,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.0542004568976794,1.0,4.804021044733257,5.978885764901122,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,-0.1751530673153425,1.0,4.787491742782046,5.857933154483459,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,-0.1168841591913665,1.0,4.653960350157523,5.916202062607435,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,0.0582236602788963,0.0,5.170483995038151,6.091309882077698,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,0.0627383406334232,0.0,5.19295685089021,6.095824562432225,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
