approved,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.0798428875110168,1.0,4.624972813284271,5.953243334287785,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0096386288377683,1.0,5.111987788356544,6.023447592961033,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1250032836298702,1.0,4.672828834461906,5.908082938168931,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,0.0,1.0,5.488937726156687,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1553504400191627,1.0,4.9344739331306915,5.877735781779639,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1751530673153425,1.0,5.480638923341991,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,0.0,1.0,5.176149732573829,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.13318886821631,1.0,4.976733742420574,5.899897353582492,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2013
1.0,-0.13318886821631,1.0,4.127134385045092,5.899897353582492,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,0.0,1.0,5.402677381872279,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,0.0,1.0,5.497168225293202,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.0824436692110746,1.0,4.859812404361672,5.950642552587727,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.02181904739464,1.0,4.61512051684126,6.0112671744041615,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,0.1551779012837881,0.0,4.804021044733257,6.18826412308259,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,-0.0416216746908197,1.0,5.393627546352362,5.991464547107982,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
1.0,0.0,1.0,5.484796933490655,6.0330862217988015,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.180883742024327,1.0,4.584967478670572,5.8522024797744745,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1751530673153425,1.0,4.77912349311153,5.857933154483459,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1168841591913665,1.0,4.624972813284271,5.916202062607435,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0071684894786123,0.0,4.6913478822291435,6.040254711277414,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0,1.0,5.537334267018537,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
0.0,-0.0695068781803556,1.0,3.2188758248682006,5.963579343618446,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1469821903486456,1.0,5.365976015021851,5.886104031450156,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
0.0,0.0,1.0,5.472270673671475,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
0.0,-0.02181904739464,1.0,5.5053315359323625,6.0112671744041615,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0959639882617438,0.0,5.209486152841421,6.129050210060545,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0669394826751093,1.0,5.783825182329737,5.966146739123692,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
0.0,-0.1442082634659209,1.0,5.4510384535657,5.8888779583328805,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1751530673153425,1.0,4.204692619390966,5.857933154483459,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
0.0,-0.0242730363562069,1.0,5.631211781821365,6.008813185442595,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
0.0,-0.0416216746908197,1.0,5.583496308781699,5.991464547107982,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
0.0,-0.0416216746908197,1.0,4.969813299576001,5.991464547107982,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0416216746908197,1.0,4.6913478822291435,5.991464547107982,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,0.076161360965564,0.0,5.081404364984463,6.1092475827643655,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,0.0,1.0,5.62040086571715,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1694550462007047,1.0,4.812184355372417,5.863631175598097,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.1751530673153425,1.0,5.62040086571715,5.857933154483459,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2013
1.0,-0.0798428875110168,1.0,5.0238805208462765,5.953243334287785,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0416216746908197,1.0,4.836281906951478,5.991464547107982,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.1365245106926549,0.0,4.820281565605037,6.169610732491456,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0,1.0,4.442651256490317,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0,1.0,4.844187086458591,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1525532353981011,1.0,4.61512051684126,5.8805329864007,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,0.0,1.0,4.59511985013459,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,0.0,1.0,4.634728988229636,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0929149690783699,1.0,5.673323267171493,5.940171252720432,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.13318886821631,1.0,5.293304824724492,5.899897353582492,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1780142995963745,1.0,5.0369526024136295,5.855071922202427,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0072202479734873,1.0,4.718498871295094,6.025865973825314,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
0.0,-0.1359323541620609,1.0,4.605170185988092,5.8971538676367405,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1304528883974356,1.0,4.060443010546419,5.902633333401366,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0416216746908197,1.0,4.356708826689592,5.991464547107982,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1895418047674413,1.0,5.017279836814924,5.84354441703136,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1195832161605316,1.0,4.997212273764115,5.91350300563827,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
