originated,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.1359323541620609,1.0,5.099866427824199,5.8971538676367405,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.1469821903486456,1.0,4.532599493153256,5.886104031450156,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.172299998332936,1.0,5.288267030694535,5.860786223465865,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
0.0,-0.0618243820083392,1.0,4.844187086458591,5.971261839790462,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,0.1067983304274537,0.0,5.2574953720277815,6.139884552226255,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0955500167163752,1.0,4.867534450455582,5.937536205082426,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0416216746908197,1.0,5.572154032177765,5.991464547107982,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
0.0,-0.0929149690783699,1.0,4.584967478670572,5.940171252720432,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,0.0,1.0,5.241747015059643,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.1222895777582744,1.0,4.812184355372417,5.910796644040527,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.1609684323233855,1.0,4.983606621708336,5.872117789475416,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2014
0.0,-0.195355774632862,1.0,5.231108616854587,5.83773044716594,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.1694550462007047,1.0,4.330733340286331,5.863631175598097,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0567353125008676,1.0,5.0106352940962555,5.976350909297934,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2014
0.0,-0.172299998332936,1.0,4.969813299576001,5.860786223465865,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2014
0.0,-0.0291991546922627,1.0,4.30406509320417,6.003887067106539,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
